Abkhazia	LOCATION
Afghanistan	LOCATION
Akrotiri	LOCATION
Akrotiri and Dhekelia	LOCATION
Aland	LOCATION
Aland Islands	LOCATION
Albania	LOCATION
Algeria	LOCATION
America	LOCATION
American Samoa	LOCATION
Andorra	LOCATION
Angola	LOCATION
Anguilla	LOCATION
Antigua	LOCATION
Antigua and Barbuda	LOCATION
Argentina	LOCATION
Armenia	LOCATION
Aruba	LOCATION
Ascension Island	LOCATION
Australia	LOCATION
Austria	LOCATION
Azerbaijan	LOCATION
Bahamas	LOCATION
Bahrain	LOCATION
Bangladesh	LOCATION
Barbados	LOCATION
Barbuda	LOCATION
Belarus	LOCATION
Belgium	LOCATION
Belize	LOCATION
Benin	LOCATION
Bermuda	LOCATION
Bhutan	LOCATION
Bolivia	LOCATION
Bosnia	LOCATION
Bosnia and Herzegovina	LOCATION
Botswana	LOCATION
Brazil	LOCATION
British Virgin Islands	LOCATION
Brunei	LOCATION
Bulgaria	LOCATION
Burkina Faso	LOCATION
Burma	LOCATION
Burundi	LOCATION
Caicos Islands	LOCATION
Cambodia	LOCATION
Cameroon	LOCATION
Canada	LOCATION
Cape Verde	LOCATION
Cayman Islands	LOCATION
Central African Republic	LOCATION
Chad	LOCATION
Chile	LOCATION
China	LOCATION
Christmas Island	LOCATION
Cocos	LOCATION
Cocos Islands	LOCATION
Colombia	LOCATION
Comoros	LOCATION
Congo	LOCATION
Cook Islands	LOCATION
Costa Rica	LOCATION
Cote d'Ivoire	LOCATION
Croatia	LOCATION
Cuba	LOCATION
Cyprus	LOCATION
Czech Republic	LOCATION
Democratic Republic of Congo	LOCATION
Denmark	LOCATION
Dhekelia	LOCATION
Djibouti	LOCATION
Dominica	LOCATION
Dominican Republic	LOCATION
East Timor	LOCATION
Ecuador	LOCATION
Egypt	LOCATION
El Salvador	LOCATION
England	LOCATION
Equatorial Guinea	LOCATION
Eritrea	LOCATION
Estonia	LOCATION
Ethiopia	LOCATION
Falkland Islands	LOCATION
Faroe Islands	LOCATION
Fiji	LOCATION
Finland	LOCATION
Former Soviet Union	LOCATION
Former USSR	LOCATION
France	LOCATION
French Polynesia	LOCATION
Futuna Islands	LOCATION
Gabon	LOCATION
Gambia	LOCATION
Georgia	LOCATION
Germany	LOCATION
Ghana	LOCATION
Gibraltar	LOCATION
Greece	LOCATION
Greenland	LOCATION
Grenada	LOCATION
Grenadines	LOCATION
Guam	LOCATION
Guatemala	LOCATION
Guernsey	LOCATION
Guinea	LOCATION
Guinea-Bissau	LOCATION
Guyana	LOCATION
Haiti	LOCATION
Herzegovina	LOCATION
Honduras	LOCATION
Hong Kong	LOCATION
Hoorn Islands	LOCATION
Hungary	LOCATION
Iceland	LOCATION
India	LOCATION
Indonesia	LOCATION
Iran	LOCATION
Iraq	LOCATION
Ireland	LOCATION
Isle of Man	LOCATION
Israel	LOCATION
Italy	LOCATION
Jamaica	LOCATION
Japan	LOCATION
Jersey	LOCATION
Jordan	LOCATION
Kazakhstan	LOCATION
Keeling Islands	LOCATION
Kenya	LOCATION
Kiribati	LOCATION
Korea	LOCATION
Kosovo	LOCATION
Kuwait	LOCATION
Kyrgyzstan	LOCATION
Laos	LOCATION
Latvia	LOCATION
Lebanon	LOCATION
Lesotho	LOCATION
Liberia	LOCATION
Libya	LOCATION
Liechtenstein	LOCATION
Lithuania	LOCATION
Luxembourg	LOCATION
Macao	LOCATION
Macau	LOCATION
Macedonia	LOCATION
Madagascar	LOCATION
Malawi	LOCATION
Malaysia	LOCATION
Maldives	LOCATION
Mali	LOCATION
Malta	LOCATION
Marshall Islands	LOCATION
Mauritania	LOCATION
Mauritius	LOCATION
Mayotte	LOCATION
Mexico	LOCATION
Micronesia	LOCATION
Miquelon	LOCATION
Moldova	LOCATION
Monaco	LOCATION
Mongolia	LOCATION
Montenegro	LOCATION
Montserrat	LOCATION
Morocco	LOCATION
Mozambique	LOCATION
Myanmar	LOCATION
Nagorno-Karabakh Republic	LOCATION
Namibia	LOCATION
Nauru	LOCATION
Nepal	LOCATION
Netherlands	LOCATION
Netherlands Antilles	LOCATION
Nevis	LOCATION
New Caledonia	LOCATION
New Zealand	LOCATION
Nicaragua	LOCATION
Niger	LOCATION
Nigeria	LOCATION
Niue	LOCATION
Norfolk Island	LOCATION
Northern Mariana Islands	LOCATION
North Korea	LOCATION
Norway	LOCATION
Oman	LOCATION
Pakistan	LOCATION
Palau	LOCATION
Palestine	LOCATION
Palestinian Territory	LOCATION
Panama	LOCATION
Papua New Guinea	LOCATION
Paraguay	LOCATION
People's Republic of China	LOCATION
Peru	LOCATION
Philippines	LOCATION
Pitcairn Islands	LOCATION
Poland	LOCATION
Portugal	LOCATION
Principe	LOCATION
Puerto Rico	LOCATION
Qatar	LOCATION
Romania	LOCATION
Russia	LOCATION
Rwanda	LOCATION
Saint Barthelemy	LOCATION
Saint Barts	LOCATION
Saint Helena	LOCATION
Saint Kitts 	LOCATION
Saint Kitts and Nevis	LOCATION
Saint Lucia	LOCATION
Saint Martin	LOCATION
Saint Pierre 	LOCATION
Saint Pierre and Miquelon	LOCATION
Saint Vincent	LOCATION
Saint Vincent and the Grenadines	LOCATION
Samoa	LOCATION
San Marino	LOCATION
Sao Tome	LOCATION
Sao Tome and Principe	LOCATION
Saudi Arabia	LOCATION
Scotland	LOCATION
Senegal	LOCATION
Serbia	LOCATION
Seychelles	LOCATION
Sierra Leone	LOCATION
Singapore	LOCATION
Slovakia	LOCATION
Slovenia	LOCATION
Solomon Islands	LOCATION
Somalia	LOCATION
Somaliland	LOCATION
South Africa	LOCATION
South Korea	LOCATION
South Ossetia	LOCATION
Soviet Union	LOCATION
Spain	LOCATION
Sri Lanka	LOCATION
Sudan	LOCATION
Suriname	LOCATION
Svalbard	LOCATION
Swaziland	LOCATION
Sweden	LOCATION
Switzerland	LOCATION
Syria	LOCATION
Taiwan	LOCATION
Tajikistan	LOCATION
Tanzania	LOCATION
Thailand	LOCATION
Tibet	LOCATION
Tobago	LOCATION
Togo	LOCATION
Tokelau	LOCATION
Tonga	LOCATION
Transnistria	LOCATION
Trinidad	LOCATION
Trinidad and Tobago	LOCATION
Tristan da Cunha	LOCATION
Tunisia	LOCATION
Turkey	LOCATION
Turkmenistan	LOCATION
Turks and Caicos Islands	LOCATION
Turks Islands	LOCATION
Tuvalu	LOCATION
UAE	LOCATION
Uganda	LOCATION
UK	LOCATION
Ukraine	LOCATION
United Arab Emirates	LOCATION
United Kingdom	LOCATION
United States	LOCATION
United States Virgin Islands	LOCATION
Uruguay	LOCATION
US	LOCATION
USA	LOCATION
USSR	LOCATION
US Virgin Islands	LOCATION
Uzbekistan	LOCATION
Vanuatu	LOCATION
Vatican	LOCATION
Vatican City	LOCATION
Venezuela	LOCATION
Vietnam	LOCATION
Virgin Islands	LOCATION
Wallis and Futuna	LOCATION
Wallis Islands	LOCATION
Western Sahara	LOCATION
Yemen	LOCATION
Zambia	LOCATION
Zimbabwe	LOCATION
